"schluessel","straftat","gemeindeschluessel","stadt_landkreis","kreisart","anzahl_erfasste_faelle","haeufigkeitszahl","erfasste_faelle_davon_versuche_anzahl","erfasste_faelle_davon_versuche_anteil_in_percent","mit_schusswaffe_gedroht","mit_schusswaffe_geschossen","auffklaerung_anzahl_faelle","aufklaerungsquote","tatverdaechtige_insgesamt","tatverdaechtige_maennlich","tatverdaechtige_weiblich","nichtdeutsche_tatverdaechtige_anzahl","nichtdeutsche_tatverdaechtige_anteil_in_percent_an_der_gesamtzahl","x19","x20","x21","x22","x23","gemeinden_n","pop_20_sum","pop20_MEDIAN","bs20_MEAN","lupp20_MEAN","mean_FLAT_size_2022","livespace_MEAN_grid_2022","vac_MEAN_muni_2022","Rent_m2_EUR_2022","share_larger_HH_2022","share_big_WHG_2022","POP_60_plus_._2022","Tax_pp_2020","change_pc_bs_median","change_pc_flat_size","change_pc_livespace_pp","change_pc_income_tax_pp"
"892000","Gewaltkriminalität",7111,"Koblenz","KfS",422,370,55,13,2,0,319,75.6,441,353,88,135,30.6,2723642,NA,7111,"Koblenz",114052,1,122438.375,21.5882,1502.5776,84.2312,87.98,60.6629,4.2,7.45,0.2159,0.3812,28.3757,NA,4,-8.3565,17.8421,NA
"892000","Gewaltkriminalität",7131,"Ahrweiler","LK",161,124,29,18,1,2,143,88.8,170,151,19,59,34.7,2723642,NA,7131,"Ahrweiler",130086,74,127738.2063,6.3412,907.5928,186.5993,120.4162,70.9552,6.2551,4.987,0.2789,0.0226,33.487,6.5831,-0.9471,6.5591,24.7045,31.6514
"892000","Gewaltkriminalität",7132,"Altenkirchen (Westerwald)","LK",224,174,34,15.2,3,2,202,90.2,245,200,45,61,24.9,2723642,NA,7132,"Altenkirchen (Westerwald)",128805,118,131989.2449,8.0895,946.1534,135.9576,120.9802,65.9752,5.2068,4.8388,0.3114,0.0326,30.9163,6.8907,2.7921,4.362,25.4215,37.6099
"892000","Gewaltkriminalität",7133,"Bad Kreuznach","LK",309,195,54,17.5,1,1,261,84.5,338,285,53,124,36.7,2723642,NA,7133,"Bad Kreuznach",158345,118,159010.9874,7.9149,1068.2496,167.1488,126.6624,65.5802,5.348,5.1096,0.3338,0.0247,33.5008,6.4339,-2.5691,2.4627,18.4238,18.9597
"892000","Gewaltkriminalität",7134,"Birkenfeld","LK",161,199,26,16.1,0,1,143,88.8,179,142,37,57,31.8,2723642,NA,7134,"Birkenfeld",80951,96,81816.858,6.3504,910.7535,176.6657,126.6486,67.2389,6.6869,4.4063,0.3073,0.0219,34.6748,5.689,1.9741,5.279,19.7529,22.0182
"892000","Gewaltkriminalität",7135,"Cochem-Zell","LK",66,108,13,19.7,0,0,58,87.9,61,54,7,22,36.1,2723642,NA,7135,"Cochem-Zell",61375,89,63537.9128,6.6394,976.3409,174.4616,122.9483,70.4559,6.9977,4.6722,0.288,0.0167,33.5717,6.0014,2.2148,3.8345,22.0793,30.6182
"892000","Gewaltkriminalität",7137,"Mayen-Koblenz","LK",366,171,84,23,4,2,337,92.1,411,334,77,110,26.8,2723642,NA,7137,"Mayen-Koblenz",214434,87,215517.0634,8.8491,1142.6426,155.7122,119.3182,69.0784,4.9905,5.2039,0.2908,0.0398,32.2958,7.6603,0.8503,2.7859,24.1015,30.4839
"892000","Gewaltkriminalität",7138,"Neuwied","LK",315,172,45,14.3,4,1,275,87.3,339,285,54,95,28,2723642,NA,7138,"Neuwied",182811,62,184239.7367,9.3709,1127.2266,140.3778,120.2852,68.5191,4.4245,5.4132,0.3115,0.0454,30.007,8.1751,1.7961,3.1852,24.4764,26.7033
"892000","Gewaltkriminalität",7140,"Rhein-Hunsrück-Kreis","LK",111,108,22,19.8,0,1,101,91,135,123,12,46,34.1,2723642,NA,7140,"Rhein-Hunsrück-Kreis",103163,137,103504.2881,6.1806,924.9119,189.9769,128.0456,71.7242,7.2418,4.6537,0.3176,0.0205,31.5502,6.8025,-4.1949,4.5167,27.4715,30.2491
"892000","Gewaltkriminalität",7141,"Rhein-Lahn-Kreis","LK",158,129,32,20.3,0,2,132,83.5,167,140,27,51,30.5,2723642,NA,7141,"Rhein-Lahn-Kreis",122297,137,123756.5926,8.3934,1008.5878,138.3184,121.4874,67.1889,6.8248,4.8583,0.3086,0.0229,33.2316,6.6993,-4.2649,3.9799,22.4921,22.5895
"892000","Gewaltkriminalität",7143,"Westerwaldkreis","LK",261,129,39,14.9,3,4,235,90,293,237,56,52,17.7,2723642,NA,7143,"Westerwaldkreis",201904,192,204365.6004,9.6254,1119.6659,137.0869,124.4422,66.5329,4.8645,5.0689,0.3307,0.0324,29.9006,6.9902,0.5929,3.7285,23.0363,25.396
"892000","Gewaltkriminalität",7211,"Trier","KfS",319,286,56,17.6,4,1,274,85.9,342,299,43,126,36.8,2723642,NA,7211,"Trier",111528,1,124114.3017,21.2899,1479.3294,82.5505,85.33,64.5567,5.65,7.92,0.1902,0.3997,25.5843,NA,2.5751,-13.641,15.2046,NA
"892000","Gewaltkriminalität",7231,"Bernkastel-Wittlich","LK",143,127,29,20.3,0,1,133,93,176,150,26,72,40.9,2723642,NA,7231,"Bernkastel-Wittlich",112483,107,113078.3161,5.9379,911.0542,185.0719,124.6146,72.1373,6.2797,5.2081,0.3107,0.0197,32.0188,6.0175,-0.1057,5.7763,24.2081,26.1329
"892000","Gewaltkriminalität",7232,"Eifelkreis Bitburg-Prüm","LK",103,104,23,22.3,1,0,102,99,141,119,22,62,44,2723642,NA,7232,"Eifelkreis Bitburg-Prüm",99058,234,97641.9976,4.1916,719.1396,257.0491,129.7055,72.8347,7.69,5.4768,0.3197,0.0179,31.3371,5.2198,0.5423,9.228,40.4061,37.6796
