"schluessel","straftat","gemeindeschluessel","stadt_landkreis","kreisart","anzahl_erfasste_faelle","haeufigkeitszahl","erfasste_faelle_davon_versuche_anzahl","erfasste_faelle_davon_versuche_anteil_in_percent","mit_schusswaffe_gedroht","mit_schusswaffe_geschossen","auffklaerung_anzahl_faelle","aufklaerungsquote","tatverdaechtige_insgesamt","tatverdaechtige_maennlich","tatverdaechtige_weiblich","nichtdeutsche_tatverdaechtige_anzahl","nichtdeutsche_tatverdaechtige_anteil_in_percent_an_der_gesamtzahl","gemeinden_n","pop_20_sum","pop20_MEAN","bs20_MEAN","lupp20_MEAN","mean_FLAT_size_2022","livespace_MEAN_grid_2022","vac_MEAN_muni_2022","Rent_m2_EUR_2022","share_larger_HH_2022","share_big_WHG_2022","POP_60_plus_._2022","change_pc_bs_mean"
"892000","Gewaltkriminalität",12053,"Frankfurt (Oder)","KfS",197,348,33,"16.8",1,2,145,"73.6",178,151,27,65,"36.5",1,57211.5816,17.9741,1192.9809,128.5774,72.69,58.5125,6.31,5.41,0.1746,0.6763,36.8618,6.6815
"892000","Gewaltkriminalität",12054,"Potsdam","KfS",374,204,62,"16.6",2,0,277,"74.1",324,279,45,122,"37.7",1,193522.2825,33.2913,1349.5315,73.4437,75.78,55.1229,2.46,7.85,0.2129,0.6937,26.3635,7.9604
"892000","Gewaltkriminalität",12060,"Barnim","LK",278,147,43,"15.5",1,1,231,"83.1",281,240,41,70,"24.9",25,172118.8893,7.8093,884.5608,198.9476,99.9948,58.6163,4.2873,5.5644,0.2805,0.1108,34.226,7.2988
"892000","Gewaltkriminalität",12061,"Dahme-Spreewald","LK",259,147,34,"13.1",2,3,206,"79.5",249,222,27,67,"26.9",37,158017.5341,6.8006,809.5027,224.0335,100.6135,60.3924,5.7141,5.7427,0.279,0.1143,36.2696,6.3486
"892000","Gewaltkriminalität",12062,"Elbe-Elster","LK",160,159,22,"13.8",1,1,129,"80.6",146,136,10,28,"19.2",33,101739.2842,6.4587,904.615,238.9288,100.6179,60.1539,8.2809,4.6597,0.2695,0.0931,39.2748,2.4602
"892000","Gewaltkriminalität",12063,"Havelland","LK",266,160,39,"14.7",3,2,216,"81.2",278,218,60,84,"30.2",26,152750.3036,7.1596,851.7824,212.7553,99.7381,58.4048,5.2491,5.6542,0.2781,0.1219,33.6664,9.2369
"892000","Gewaltkriminalität",12064,"Märkisch-Oderland","LK",360,182,74,"20.6",2,3,301,"83.6",357,292,65,88,"24.6",45,184671.4005,6.6059,806.0836,212.3606,99.0026,59.8274,5.6744,5.3548,0.2699,0.1113,34.5776,9.8139
"892000","Gewaltkriminalität",12065,"Oberhavel","LK",306,142,56,"18.3",2,1,251,"82",341,295,46,83,"24.3",19,202806.8288,11.5396,1085.8938,172.5115,96.1353,59.3085,4.3442,6.0726,0.2651,0.1821,33.3846,8.8732
"892000","Gewaltkriminalität",12066,"Oberspreewald-Lausitz","LK",235,218,42,"17.9",1,2,192,"81.7",215,182,33,30,"14",25,108948.9642,7.4692,960.2112,232.6426,96.9344,58.3904,7.3896,4.9852,0.2728,0.1634,37.1835,4.2003
"892000","Gewaltkriminalität",12067,"Oder-Spree","LK",290,162,43,"14.8",3,1,244,"84.1",308,262,46,93,"30.2",37,173278.4911,7.9031,930.3631,205.0658,102.4814,59.6023,4.0571,5.8,0.278,0.1251,37.4553,10.1146
"892000","Gewaltkriminalität",12068,"Ostprignitz-Ruppin","LK",258,261,54,"20.9",2,0,229,"88.8",253,209,44,84,"33.2",23,94541.0349,5.6221,765.0527,239.0435,99.9774,61.5532,5.6473,5.0783,0.2641,0.1147,36.6203,4.5262
